,ticker,period,Aktywa ogółem,I. Aktywa trwałe,1. Wartości niematerialne i prawne,2. Rzeczowe składniki majątku trwałego,3. Należności długoterminowe,4. Inwestycje długoterminowe,5. Pozostałe aktywa trwałe,II. Aktywa obrotowe,1. Zapasy,2. Należności krótkoterminowe,3. Inwestycje krótkoterminowe,W tym: środki pieniężne i inne aktywa pieniężne,4. Pozostałe aktywa obrotowe,5. Aktywa trwałe przeznaczone do sprzedaży,Pasywa ogółem,I. Kapitał własny,1. Kapitał (fundusz) podstawowy,2. Udziały (akcje) własne (wielkość ujemna),3. Kapitał (fundusz) zapasowy,4. Zysk (strata) z lat ubiegłych,5. Zysk (strata) netto,6. Udziały niekontrolujące,II. Zobowiązania ogółem,1. Zobowiązania długoterminowe,Z tytułu dostaw i usług,Kredyty i pożyczki,Z tytułu emisji dłużnych papierów wartościowych,Zobowiązania z tytułu leasingu finansowego,Inne zobowiązania długoterminowe,2. Zobowiązania krótkoterminowe,Inne zobowiązania krótkoterminowe,III. Rozliczenia międzyokresowe,A. Przepływy pieniężne z działalności operacyjnej,Amortyzacja,Zmiana stanu należności,Zmiana stanu zapasów,Zmiana stanu zobowiązań,Zmiana rezerw i pozostałe,Kapitał obrotowy,B. Przepływy pieniężne z działalności inwestycyjnej,CAPEX (niematerialne i rzeczowe),C. Przepływy pieniężne z działalności finansowej,Emisja akcji,Odsetki pozyskane,Odsetki zapłacone,Dywidenda,Przepływy pieniężne razem (A+B+C),Środki pieniężne na koniec okresu,I. Przychody ze sprzedaży,Techniczny koszt wytworzenia produkcji sprzedanej,Koszty sprzedaży,Koszty ogólnego zarządu,II. Zysk (strata) ze sprzedaży,Pozostałe przychody operacyjne,Pozostałe koszty operacyjne,III. EBIT,Przychody finansowe,Koszty finansowe,Pozostałe przychody (koszty),IV. Zysk (strata) z działalności gospodarczej,Wynik zdarzeń nadzwyczajnych,Zysk przed opodatkowaniem,Zysk (strata) netto z działalności zaniechanej,V. Zysk netto,W tym: zysk netto akcjonariuszy jednostki dominującej,Zysk netto na akcję
354,VTL,Y 12.19,226847.0,169916.0,764.0,146899.0,425.0,0.0,2734.0,48116.0,5276.0,31259.0,154.0,11427.0,0.0,8815.0,226847.0,-7717.0,824.0,0.0,148182.0,-156723.0,0.0,0.0,234564.0,74708.0,0.0,3462.0,0.0,0.0,71246.0,159856.0,21864.0,0.0,-27557.0,8029.0,0.0,0.0,0.0,0.0,0.0,-1371.0,1441.0,4835.0,6805.0,0.0,0.0,0.0,-24093.0,11427.0,65517.0,61834.0,263.0,20951.0,-17531.0,31422.0,13253.0,638.0,14740.0,19767.0,258706.0,254317.0,0.0,254317.0,0.0,254317.0,254317.0,15.43
355,VVD,Y 12.19,39337.0,33178.0,32278.0,575.0,62.0,5.0,258.0,5238.0,0.0,2389.0,0.0,2640.0,208.0,922.0,39337.0,16385.0,2974.0,-11.0,10885.0,2537.0,0.0,0.0,22953.0,9691.0,0.0,2030.0,0.0,251.0,7410.0,13261.0,1152.0,0.0,4262.0,4861.0,0.0,0.0,0.0,0.0,0.0,-6680.0,6714.0,3245.0,0.0,0.0,0.0,0.0,827.0,2640.0,19698.0,0.0,0.0,0.0,1100.0,697.0,37.0,1760.0,7.0,1151.0,0.0,616.0,0.0,616.0,0.0,421.0,421.0,0.01
356,WAS,Y 12.19,395932.0,155042.0,43616.0,101783.0,6362.0,176.0,3105.0,240890.0,19027.0,107911.0,8909.0,42546.0,62497.0,0.0,395932.0,232142.0,91187.0,0.0,101420.0,39535.0,0.0,4758.0,159032.0,13343.0,0.0,7857.0,0.0,0.0,5486.0,145689.0,17460.0,24217.0,3912.0,15304.0,0.0,0.0,0.0,0.0,0.0,-12158.0,13662.0,4782.0,0.0,0.0,0.0,0.0,-3464.0,42546.0,414979.0,357908.0,20427.0,24445.0,12199.0,2577.0,7261.0,7515.0,1728.0,1378.0,0.0,7865.0,0.0,7865.0,0.0,5399.0,5856.0,0.06
357,WIK,Y 12.19,235443.0,79798.0,36.0,77468.0,0.0,0.0,2294.0,155645.0,130513.0,5775.0,0.0,19357.0,0.0,0.0,235443.0,42740.0,40030.0,-266.0,133000.0,-130024.0,0.0,0.0,192703.0,42627.0,0.0,14098.0,0.0,10191.0,18338.0,150076.0,2492.0,70042.0,3981.0,1394.0,0.0,0.0,0.0,0.0,0.0,99.0,98.0,-4450.0,0.0,0.0,0.0,0.0,-370.0,19357.0,77051.0,60701.0,2698.0,3369.0,10283.0,2508.0,6201.0,6590.0,0.0,4996.0,0.0,1594.0,0.0,1594.0,0.0,885.0,885.0,0.04
358,WIS,Y 12.19,6197.0,482.0,0.0,2.0,0.0,480.0,0.0,5715.0,0.0,5668.0,0.0,36.0,11.0,0.0,6197.0,2266.0,175302.0,0.0,26153.0,-199189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3931.0,3840.0,0.0,-5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,36.0,0.0,0.0,0.0,0.0,-279.0,0.0,80.0,-359.0,0.0,589.0,0.0,-948.0,0.0,-948.0,0.0,-948.0,-948.0,-0.0433
359,WLT,Y 12.19,1397778.0,645070.0,168684.0,466363.0,870.0,1.0,9152.0,752679.0,360712.0,324091.0,559.0,58067.0,9250.0,29.0,1397778.0,377096.0,12075.0,0.0,38049.0,326972.0,0.0,26329.0,994353.0,383668.0,0.0,273434.0,0.0,31843.0,78391.0,610685.0,61294.0,5905.0,108143.0,52148.0,0.0,0.0,0.0,0.0,0.0,-82569.0,89329.0,-1779.0,0.0,0.0,0.0,19924.0,45568.0,58067.0,2343187.0,2075932.0,125131.0,82503.0,59621.0,37029.0,6963.0,89687.0,3302.0,12515.0,0.0,80474.0,0.0,80474.0,0.0,57891.0,57642.0,0.95
360,WOJ,Y 12.19,254158.0,119424.0,1167.0,113971.0,0.0,1108.0,3178.0,134734.0,107083.0,18606.0,0.0,5937.0,3108.0,0.0,254158.0,74954.0,12677.0,0.0,65077.0,-2800.0,0.0,5694.0,173510.0,76619.0,0.0,67792.0,0.0,0.0,8827.0,96891.0,13850.0,1562.0,33022.0,33836.0,0.0,0.0,0.0,0.0,0.0,-5671.0,2644.0,-25208.0,0.0,0.0,0.0,2535.0,2143.0,5937.0,292796.0,175222.0,104605.0,9912.0,3057.0,7158.0,2176.0,8039.0,711.0,4845.0,0.0,3905.0,0.0,3905.0,0.0,3395.0,4133.0,0.33
361,WPL,Y 12.19,1145069.0,909137.0,766442.0,106477.0,208.0,29650.0,6360.0,235932.0,0.0,160733.0,0.0,73929.0,1270.0,0.0,1145069.0,500881.0,1451.0,0.0,320972.0,178458.0,0.0,12246.0,631942.0,426105.0,0.0,311208.0,0.0,46845.0,68052.0,205837.0,7393.0,0.0,188986.0,84438.0,0.0,0.0,0.0,0.0,0.0,-109147.0,81095.0,-72551.0,1330.0,0.0,0.0,28995.0,7288.0,73929.0,708700.0,0.0,0.0,0.0,143618.0,1740.0,15413.0,129945.0,2827.0,19677.0,-14242.0,98853.0,0.0,98853.0,0.0,71132.0,68998.0,2.38
362,WSE,Y 12.19,668214.0,384727.0,308374.0,20685.0,0.0,351.0,55317.0,283487.0,7463.0,231558.0,1084.0,38139.0,5242.0,0.0,668214.0,59676.0,6559.0,0.0,238198.0,-185080.0,0.0,30360.0,578178.0,58411.0,0.0,7887.0,0.0,0.0,50523.0,519767.0,285452.0,11459.0,-18262.0,15296.0,0.0,0.0,0.0,0.0,0.0,46117.0,1505.0,-46202.0,50.0,0.0,0.0,0.0,-18347.0,38139.0,1595826.0,0.0,0.0,0.0,870.0,68541.0,85178.0,-15767.0,6128.0,89060.0,0.0,-98698.0,0.0,-98698.0,-17577.0,-111638.0,-117279.0,-1.7889
363,WTN,Y 12.19,259393.0,154133.0,28858.0,70096.0,0.0,0.0,55179.0,105260.0,67113.0,33485.0,0.0,3487.0,1175.0,0.0,259393.0,149885.0,3636.0,0.0,143663.0,2586.0,0.0,0.0,109508.0,60175.0,0.0,15021.0,0.0,38647.0,6507.0,49333.0,4078.0,257.0,51749.0,25975.0,0.0,0.0,0.0,0.0,0.0,-16825.0,16850.0,-39618.0,6.0,0.0,0.0,18179.0,-4694.0,3487.0,284536.0,122165.0,112707.0,12194.0,37470.0,1977.0,2921.0,36526.0,3227.0,3116.0,0.0,36637.0,0.0,36637.0,0.0,32033.0,32033.0,1.76
364,WWL,Y 12.19,803720.0,405377.0,4498.0,385396.0,81.0,1452.0,13950.0,398343.0,63824.0,183841.0,1325.0,148970.0,383.0,0.0,803720.0,690602.0,7499.0,0.0,624674.0,58429.0,0.0,0.0,113118.0,8853.0,0.0,0.0,0.0,8815.0,38.0,104265.0,28634.0,15790.0,83124.0,29521.0,0.0,0.0,0.0,0.0,0.0,-24864.0,25082.0,-39475.0,0.0,0.0,0.0,37494.0,18785.0,148970.0,564440.0,356218.0,62298.0,75013.0,70911.0,0.0,608.0,70303.0,3657.0,918.0,0.0,73042.0,0.0,73042.0,0.0,58610.0,58610.0,39.08
365,WXF,Y 12.19,1518407.0,1469408.0,468.0,1325803.0,0.0,124080.0,19057.0,48998.0,558.0,16421.0,0.0,32020.0,0.0,0.0,1518407.0,674683.0,229959.0,-9952.0,-10161.0,464837.0,0.0,-5809.0,849532.0,733356.0,0.0,578377.0,38084.0,5361.0,111534.0,116176.0,3445.0,907.0,-175.0,0.0,0.0,0.0,0.0,0.0,0.0,-49386.0,56608.0,41380.0,0.0,0.0,0.0,13623.0,-8181.0,32020.0,134747.0,0.0,0.0,0.0,137720.0,125264.0,72518.0,190466.0,91873.0,32931.0,50740.0,300148.0,0.0,300148.0,0.0,283212.0,261779.0,4.85
366,XTB,Y 12.19,1138900.0,23768.0,572.0,14193.0,0.0,0.0,9003.0,1115132.0,0.0,71.0,155792.0,955196.0,4073.0,0.0,1138900.0,490744.0,5869.0,0.0,412728.0,72147.0,0.0,0.0,648156.0,15561.0,0.0,0.0,0.0,0.0,15561.0,632595.0,24502.0,0.0,45721.0,6753.0,0.0,0.0,0.0,0.0,0.0,-3279.0,3295.0,-24899.0,0.0,0.0,0.0,19955.0,17543.0,955196.0,238735.0,0.0,0.0,0.0,69167.0,569.0,4324.0,65412.0,5901.0,1877.0,0.0,69436.0,0.0,69436.0,0.0,57701.0,57701.0,0.49
